" ","Week 11","Week 12","Week 13","Week 14"
"Appingedam","1.04","1.39","0.35","2.09"
"Delfzijl","0.61","1.06","0.61","0.61"
"Groningen (gemeente)","0.93","1.13","1.02","1.13"
"Loppersum","1.29","0.43","0.00","1.29"
"Almere","1.28","1.06","0.80","1.01"
"Stadskanaal","1.43","1.24","0.76","0.86"
"Veendam","0.95","1.22","0.95","0.41"
"Zeewolde","0.42","0.83","1.25","1.25"
"Achtkarspelen","0.22","1.09","1.09","0.87"
"Ameland","1.25","0.00","0.00","0.00"
"Harlingen","0.60","0.60","1.50","1.50"
"Heerenveen","1.20","0.60","1.54","1.71"
"Leeuwarden","0.98","0.98","1.11","0.68"
"Ooststellingwerf","0.68","1.69","0.34","0.17"
"Opsterland","1.06","0.91","0.76","0.61"
"Schiermonnikoog","0.00","1.33","0.00","0.00"
"Smallingerland","1.36","1.02","1.14","1.25"
"Terschelling","1.40","0.00","3.50","0.00"
"Vlieland","3.00","0.00","0.00","0.00"
"Weststellingwerf","0.74","1.03","1.03","0.88"
"Assen","1.71","0.89","1.38","0.89"
"Coevorden","0.83","0.52","0.73","1.67"
"Emmen","1.11","1.11","0.95","1.07"
"Hoogeveen","0.36","1.18","0.73","0.82"
"Meppel","0.61","0.91","1.52","1.52"
"Almelo","1.01","1.01","1.58","0.58"
"Borne","1.28","1.54","1.79","1.79"
"Dalfsen","0.96","0.96","0.58","2.50"
"Deventer","1.15","1.15","2.42","2.74"
"Enschede","1.26","0.95","1.53","0.99"
"Haaksbergen","1.02","1.84","0.82","1.02"
"Hardenberg","0.89","0.89","0.45","1.52"
"Hellendoorn","0.96","0.68","0.96","1.10"
"Hengelo (O.)","1.03","0.98","0.69","0.86"
"Kampen","1.07","1.31","2.26","2.98"
"Losser","1.09","0.87","0.43","1.09"
"Noordoostpolder","0.81","0.81","0.70","0.81"
"Oldenzaal","1.19","1.34","1.79","1.04"
"Ommen","0.56","1.41","1.41","1.41"
"Raalte","1.18","0.79","1.58","1.97"
"Staphorst","1.50","1.00","1.00","2.00"
"Tubbergen","0.65","0.87","0.87","1.52"
"Urk","1.13","0.00","1.13","2.25"
"Wierden","0.77","1.35","0.96","0.77"
"Zwolle","1.31","2.00","2.34","2.06"
"Aalten","1.36","0.85","1.36","1.36"
"Apeldoorn","1.02","1.49","1.68","1.49"
"Arnhem","1.22","1.33","1.10","1.63"
"Barneveld","0.94","1.29","0.94","1.53"
"Beuningen","0.59","0.88","0.59","2.35"
