"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"";"";"Bevolking|Bevolkingssamenstelling op 1 januari|Totale bevolking";"Bevolking|Bevolkingssamenstelling op 1 januari|Geslacht|Mannen";"Bevolking|Bevolkingssamenstelling op 1 januari|Geslacht|Vrouwen";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|Jonger dan 5 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|5 tot 10 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|10 tot 15 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|15 tot 20 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|20 tot 25 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|25 tot 45 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|45 tot 65 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|65 tot 80 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen|80 jaar of ouder";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|Jonger dan 5 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|5 tot 10 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|10 tot 15 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|15 tot 20 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|20 tot 25 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|25 tot 45 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|45 tot 65 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|65 tot 80 jaar";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Leeftijdsgroepen, relatief|80 jaar of ouder";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Demografische druk|Totale druk";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Demografische druk|Groene druk";"Bevolking|Bevolkingssamenstelling op 1 januari|Leeftijd|Demografische druk|Grijze druk";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid"
"Regio's";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"aantal inwoners per km²"
"Groningen (PV)";"2019";"583990";"291436";"292554";"25419";"27583";"29056";"36618";"52745";"139700";"158591";"87142";"27136";"4,4";"4,7";"5,0";"6,3";"9,0";"23,9";"27,2";"14,9";"4,6";"66,4";"33,8";"32,6";"251"
"Friesland (PV)";"2019";"647672";"324666";"323006";"30736";"34847";"37892";"41917";"36896";"141774";"186013";"104600";"32997";"4,7";"5,4";"5,9";"6,5";"5,7";"21,9";"28,7";"16,2";"5,1";"77,6";"39,9";"37,7";"194"
"Drenthe (PV)";"2019";"492167";"244556";"247611";"21938";"25389";"28217";"31160";"23335";"101574";"148116";"84956";"27482";"4,5";"5,2";"5,7";"6,3";"4,7";"20,6";"30,1";"17,3";"5,6";"80,3";"39,1";"41,2";"187"
"Overijssel (PV)";"2019";"1156431";"580491";"575940";"58522";"64547";"70133";"76579";"71502";"272737";"320471";"167579";"54361";"5,1";"5,6";"6,1";"6,6";"6,2";"23,6";"27,7";"14,5";"4,7";"74,0";"40,6";"33,4";"348"
"Flevoland (PV)";"2019";"416546";"208238";"208308";"24791";"26375";"27448";"28781";"25114";"109046";"117755";"46220";"11016";"6,0";"6,3";"6,6";"6,9";"6,0";"26,2";"28,3";"11,1";"2,6";"65,4";"42,6";"22,7";"295"
"Gelderland (PV)";"2019";"2071972";"1027649";"1044323";"100643";"109359";"118141";"133403";"129345";"471091";"594492";"316230";"99268";"4,9";"5,3";"5,7";"6,4";"6,2";"22,7";"28,7";"15,3";"4,8";"73,4";"38,6";"34,8";"417"
"Utrecht (PV)";"2019";"1342158";"659562";"682596";"75181";"77647";"79543";"83000";"87045";"354258";"359671";"171378";"54435";"5,6";"5,8";"5,9";"6,2";"6,5";"26,4";"26,8";"12,8";"4,1";"67,6";"39,4";"28,2";"904"
"Noord-Holland (PV)";"2019";"2853359";"1409569";"1443790";"146513";"149983";"153168";"162631";"173881";"775463";"783005";"388463";"120252";"5,1";"5,3";"5,4";"5,7";"6,1";"27,2";"27,4";"13,6";"4,2";"64,7";"35,3";"29,4";"1071"
"Zuid-Holland (PV)";"2019";"3673893";"1815135";"1858758";"198027";"204243";"203103";"218312";"238293";"957101";"993662";"498066";"163086";"5,4";"5,6";"5,5";"5,9";"6,5";"26,1";"27,0";"13,6";"4,4";"67,8";"37,6";"30,2";"1361"
